Sold,XOM,[86.],['2021-06-22 00:00:00+00:00'],[63.79]
Bought,XOM,[86.],['2021-06-22 00:00:00+00:00'],[63.79]
Sold,XOM,[86.],['2021-06-23 00:00:00+00:00'],[64.26]
Bought,XOM,[86.],['2021-06-23 00:00:00+00:00'],[64.26]
Sold,XOM,[86.],['2021-06-24 00:00:00+00:00'],[64.52]
Bought,XOM,[86.],['2021-06-24 00:00:00+00:00'],[64.52]
Sold,XOM,[86.],['2021-06-25 00:00:00+00:00'],[64.66]
Bought,XOM,[86.],['2021-06-25 00:00:00+00:00'],[64.66]
Sold,XOM,[86.],['2021-06-28 00:00:00+00:00'],[63.01]
Bought,XOM,[86.],['2021-06-28 00:00:00+00:00'],[63.01]
Sold,XOM,[86.],['2021-06-29 00:00:00+00:00'],[62.62]
Bought,XOM,[86.],['2021-06-29 00:00:00+00:00'],[62.62]
Sold,XOM,[86.],['2021-06-30 00:00:00+00:00'],[63.08]
Bought,XOM,[86.],['2021-06-30 00:00:00+00:00'],[63.08]
Sold,XOM,[86.],['2021-07-01 00:00:00+00:00'],[63.26]
Bought,XOM,[86.],['2021-07-01 00:00:00+00:00'],[63.26]
Sold,XOM,[86.],['2021-07-02 00:00:00+00:00'],[63.17]
Bought,XOM,[86.],['2021-07-02 00:00:00+00:00'],[63.17]
Sold,XOM,[86.],['2021-07-06 00:00:00+00:00'],[61.37]
Bought,XOM,[86.],['2021-07-06 00:00:00+00:00'],[61.37]
Sold,XOM,[86.],['2021-07-07 00:00:00+00:00'],[60.41]
Bought,XOM,[86.],['2021-07-07 00:00:00+00:00'],[60.41]
Sold,XOM,[86.],['2021-07-08 00:00:00+00:00'],[60.14]
Bought,XOM,[86.],['2021-07-08 00:00:00+00:00'],[60.14]
Sold,XOM,[86.],['2021-07-09 00:00:00+00:00'],[61.23]
Bought,XOM,[86.],['2021-07-09 00:00:00+00:00'],[61.23]
Sold,XOM,[86.],['2021-07-12 00:00:00+00:00'],[61.17]
Bought,XOM,[86.],['2021-07-12 00:00:00+00:00'],[61.17]
Sold,XOM,[86.],['2021-07-13 00:00:00+00:00'],[60.88]
Bought,XOM,[86.],['2021-07-13 00:00:00+00:00'],[60.88]
Sold,XOM,[86.],['2021-07-14 00:00:00+00:00'],[59.53]
Bought,XOM,[86.],['2021-07-14 00:00:00+00:00'],[59.53]
Sold,XOM,[86.],['2021-07-15 00:00:00+00:00'],[58.95]
Bought,XOM,[86.],['2021-07-15 00:00:00+00:00'],[58.95]
Sold,XOM,[86.],['2021-07-16 00:00:00+00:00'],[57.32]
Bought,XOM,[86.],['2021-07-16 00:00:00+00:00'],[57.32]
Sold,XOM,[86.],['2021-07-19 00:00:00+00:00'],[55.35]
Bought,XOM,[86.],['2021-07-19 00:00:00+00:00'],[55.35]
Sold,XOM,[86.],['2021-07-20 00:00:00+00:00'],[55.96]
Bought,XOM,[86.],['2021-07-20 00:00:00+00:00'],[55.96]
Sold,XOM,[86.],['2021-07-21 00:00:00+00:00'],[57.76]
Bought,XOM,[86.],['2021-07-21 00:00:00+00:00'],[57.76]
Sold,XOM,[86.],['2021-07-22 00:00:00+00:00'],[57.11]
Bought,XOM,[86.],['2021-07-22 00:00:00+00:00'],[57.11]
Sold,XOM,[86.],['2021-07-23 00:00:00+00:00'],[57.04]
Bought,XOM,[86.],['2021-07-23 00:00:00+00:00'],[57.04]
Sold,XOM,[86.],['2021-07-26 00:00:00+00:00'],[58.48]
Bought,XOM,[86.],['2021-07-26 00:00:00+00:00'],[58.48]
Sold,XOM,[86.],['2021-07-27 00:00:00+00:00'],[57.83]
Bought,XOM,[86.],['2021-07-27 00:00:00+00:00'],[57.83]
Sold,XOM,[86.],['2021-07-28 00:00:00+00:00'],[58.22]
Bought,XOM,[86.],['2021-07-28 00:00:00+00:00'],[58.22]
Sold,XOM,[86.],['2021-07-29 00:00:00+00:00'],[58.93]
Bought,XOM,[86.],['2021-07-29 00:00:00+00:00'],[58.93]
Sold,XOM,[86.],['2021-07-30 00:00:00+00:00'],[57.57]
Bought,XOM,[86.],['2021-07-30 00:00:00+00:00'],[57.57]
Sold,XOM,[86.],['2021-08-02 00:00:00+00:00'],[57.58]
Bought,XOM,[86.],['2021-08-02 00:00:00+00:00'],[57.58]
Sold,XOM,[86.],['2021-08-03 00:00:00+00:00'],[58.2]
Bought,XOM,[86.],['2021-08-03 00:00:00+00:00'],[58.2]
Sold,XOM,[86.],['2021-08-04 00:00:00+00:00'],[56.84]
Bought,XOM,[86.],['2021-08-04 00:00:00+00:00'],[56.84]
Sold,XOM,[86.],['2021-08-05 00:00:00+00:00'],[57.2]
Bought,XOM,[86.],['2021-08-05 00:00:00+00:00'],[57.2]
Sold,XOM,[86.],['2021-08-06 00:00:00+00:00'],[57.86]
Bought,XOM,[86.],['2021-08-06 00:00:00+00:00'],[57.86]
Sold,XOM,[86.],['2021-08-09 00:00:00+00:00'],[57.2]
Bought,XOM,[86.],['2021-08-09 00:00:00+00:00'],[57.2]
Sold,XOM,[86.],['2021-08-10 00:00:00+00:00'],[58.18]
Bought,XOM,[86.],['2021-08-10 00:00:00+00:00'],[58.18]
Sold,XOM,[86.],['2021-08-11 00:00:00+00:00'],[58.35]
Bought,XOM,[86.],['2021-08-11 00:00:00+00:00'],[58.35]
Sold,XOM,[86.],['2021-08-12 00:00:00+00:00'],[57.35]
Bought,XOM,[86.],['2021-08-12 00:00:00+00:00'],[57.35]
Sold,XOM,[86.],['2021-08-13 00:00:00+00:00'],[56.77]
Bought,XOM,[86.],['2021-08-13 00:00:00+00:00'],[56.77]
Sold,XOM,[86.],['2021-08-16 00:00:00+00:00'],[55.94]
Bought,XOM,[86.],['2021-08-16 00:00:00+00:00'],[55.94]
